"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2020-12-15","5","4432","142","0.03203971119133574","6","2","12","5","6","0","34","0","0","0","0","0","0","77","77","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-16","4","2226","28","0.012578616352201259","1","2","8","0","1","1","8","0","0","0","0","0","0","7","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-17","11","2077","140","0.06740491092922485","6","8","9","4","3","0","70","0","0","0","0","0","0","56","40","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-18","13","7891","163","0.020656444050183752","5","7","15","10","6","0","60","0","0","0","0","0","0","61","60","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-19","3","1374","30","0.021834061135371178","0","2","3","4","5","0","5","0","0","0","0","0","0","11","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-20","0","683","9","0.013177159590043924","0","0","2","1","1","0","0","0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-21","4","903","22","0.024363233665559248","1","1","9","0","1","0","4","0","0","0","0","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-22","3","879","30","0.034129692832764506","0","2","2","15","0","0","6","0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-23","2","456","19","0.041666666666666664","0","1","4","3","2","0","3","0","0","0","0","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-24","7","2253","56","0.024855747891699954","4","1","10","4","23","0","10","0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-25","1","831","28","0.03369434416365824","0","1","1","3","17","1","5","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-26","9","1427","52","0.036440084092501754","2","7","12","4","16","1","7","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-27","3","1314","77","0.05859969558599695","2","1","7","2","8","1","15","0","0","0","0","0","0","41","41","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-28","5","3774","270","0.07154213036565978","5","3","22","15","8","4","43","0","0","0","0","0","0","170","170","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-29","3","5372","245","0.04560685033507074","2","2","12","7","9","5","39","0","0","0","0","0","0","169","169","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-30","7","2487","82","0.03297145154804986","2","2","8","4","2","1","15","0","0","0","0","0","0","48","48","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-12-31","1","540","17","0.03148148148148148","0","2","2","0","1","0","3","0","0","0","0","0","0","9","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-01","3","835","42","0.05029940119760479","0","1","3","3","2","0","28","0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-02","2","858","14","0.016317016317016316","0","1","3","0","0","0","8","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-03","1","496","11","0.02217741935483871","0","1","2","1","0","0","4","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-04","9","2325","108","0.04645161290322581","3","3","19","19","2","1","22","0","0","0","0","0","0","39","39","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-05","10","1785","125","0.0700280112044818","3","7","29","19","2","2","22","0","0","0","0","0","0","41","41","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-06","15","1686","80","0.04744958481613286","0","12","10","6","0","0","31","0","0","0","0","0","0","21","21","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-07","7","1266","72","0.05687203791469194","2","5","22","5","0","0","21","0","0","0","0","0","0","17","17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-08","4","2700","112","0.04148148148148148","4","3","17","3","0","0","36","0","0","0","0","0","0","49","49","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-09","8","2737","139","0.05078553160394592","1","5","19","8","9","1","39","0","0","0","0","0","0","57","57","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-10","4","1828","145","0.07932166301969365","3","4","14","10","0","1","26","0","0","0","0","0","0","87","87","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-01-11","7","787","33","0.04193138500635324","0","5","8","3","0","0","11","0","0","0","0","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
